step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
0,2023-07-03 08:00:14.385893078,1,194.05,134.0,-0.44602322322317267,0.17959252322317262,0.25,0.0164307
2,2023-07-03 08:00:15.804687301,2,194.21,88.0,-0.09678801803554471,0.08031621803554471,0.0,0.0164718
4,2023-07-03 08:00:23.368671235,2,194.13,46.0,-0.09675121803554472,0.08031621803554471,0.0,0.016435
6,2023-07-03 08:00:30.451005195,1,194.02,89.0,-0.2370440180355311,0.08031621803554471,0.13999999999998636,0.0167278
8,2023-07-03 08:00:30.451005195,2,194.01,89.0,-0.42070998204302146,0.25398218204301576,0.15000000000000568,0.0167278
9,2023-07-03 08:00:30.451829005,1,194.0,98.0,-1.5850970309627908,1.4083993309627942,0.1599999999999966,0.0166977
10,2023-07-03 08:00:30.451829005,1,194.0,186.0,-0.22749413640859975,0.05079643640860315,0.1599999999999966,0.0166977
11,2023-07-03 08:00:30.451829005,2,194.0,215.0,-0.23348984241218756,0.056792142412190966,0.1599999999999966,0.0166977
13,2023-07-03 08:00:30.566381995,2,194.09,67.0,-0.16675891803553788,0.08031621803554471,0.06999999999999318,0.0164427
14,2023-07-03 08:00:37.857944791,1,194.12,169.0,-0.09680601803554471,0.08031621803554471,0.0,0.0164898
16,2023-07-03 08:00:47.317729998,2,194.1,171.0,-0.06200701820431181,0.025398218204301576,0.020000000000010232,0.0166088
18,2023-07-03 08:00:57.325590403,1,194.1,240.0,-0.06200701820431181,0.025398218204301576,0.020000000000010232,0.0166088
21,2023-07-03 08:01:02.030585068,1,194.12,171.0,-0.06040320435157111,0.04399100435157111,0.0,0.0164122
23,2023-07-03 08:01:02.738812696,2,194.12,103.0,-0.12416761393390358,0.10775551393390358,0.0,0.0164121
24,2023-07-03 08:01:02.738841844,2,194.12,131.0,-0.09672531803554471,0.08031621803554471,0.0,0.0164091
25,2023-07-03 08:01:02.739065129,1,194.12,235.0,-0.23636002175785553,0.21995502175785553,0.0,0.016405
27,2023-07-03 08:01:10.150974638,2,194.18,183.0,-0.04190021820430158,0.025398218204301576,0.0,0.016502
31,2023-07-03 08:01:12.249596259,1,194.2,169.0,-0.04183631820430157,0.025398218204301576,0.0,0.0164381
32,2023-07-03 08:01:12.250045693,2,194.26,103.0,-0.09270255461290472,0.07619465461290473,0.0,0.0165079
33,2023-07-03 08:01:12.250045693,2,194.26,179.0,-0.19610042322317262,0.17959252322317262,0.0,0.0165079
34,2023-07-03 08:01:12.377325167,2,194.28,116.0,-0.05190161820429248,0.025398218204301576,0.009999999999990905,0.0165034
35,2023-07-03 08:01:12.692506346,1,194.15,74.0,-0.40914958038171356,0.25270908038172724,0.13999999999998636,0.0164405
36,2023-07-03 08:01:13.529950930,1,194.22,83.0,-0.11187051820429475,0.025398218204301576,0.06999999999999318,0.0164723
38,2023-07-03 08:01:14.185830444,2,194.25,80.0,-0.23631442322316465,0.17959252322317262,0.03999999999999204,0.0167219
40,2023-07-03 08:01:14.185830444,1,194.26,149.0,-0.12703811803554585,0.08031621803554471,0.030000000000001137,0.0167219
41,2023-07-03 08:01:14.185830444,1,194.28,164.0,-0.10703811803553562,0.08031621803554471,0.009999999999990905,0.0167219
43,2023-07-03 08:01:14.185830444,2,194.29,167.0,-0.21608272549875285,0.19836642549875286,0.0,0.0177163
46,2023-07-03 08:01:28.208889457,2,194.18,180.0,-0.14047960435155518,0.04399100435157111,0.07999999999998408,0.0164886
48,2023-07-03 08:01:33.770919150,2,194.2,43.0,-0.14114793635880252,0.10471953635882071,0.01999999999998181,0.0164284
57,2023-07-03 08:02:43.952770224,1,194.19,161.0,-0.20618732322316352,0.17959252322317262,0.009999999999990905,0.0165948
58,2023-07-03 08:02:43.952770224,2,194.2,131.0,-0.19618732322317262,0.17959252322317262,0.0,0.0165948
60,2023-07-03 08:02:49.169113913,1,194.19,168.0,-0.10681661803553562,0.08031621803554471,0.009999999999990905,0.0165004
61,2023-07-03 08:02:51.226003391,2,194.19,113.0,-0.08323204241218188,0.056792142412190966,0.009999999999990905,0.0164399
62,2023-07-03 08:03:01.015438032,1,194.16,65.0,-0.09240660464462658,0.03591850464463453,0.03999999999999204,0.0164881
